"plot","CWM_statut","CWM_stade_saprox","CWM_dbh","FDis_statut","FDis_stade_saprox","FDis_dbh","FRic","FDiv","FEve","FDis"
"ANC4B4",2.62321684047125,2.95479926591045,36.0233226092734,0.629332648922199,0.0953267061817099,0.470821182290841,0.0628220228776221,0.953532639902135,0.529175350260662,0.147722843925329
"ARD3B1",2.5212037843188,2.56968956897467,52.1213668007537,0.743294202994329,0.68066933466698,0.465533603746986,0.121037787393301,0.815141227748343,0.824914726159729,0.193618278115262
"ARD3B2",2.72882960818819,2.79000075831872,42.253034333188,0.517563555661806,0.366439479212298,0.39990488921503,0.22167670093061,0.891334776548127,0.833791763423181,0.264251764605844
"ARR3A1",2.61858978712315,3.01508042962652,50.5672649605441,0.640251682143992,0.0328073765952601,0.594652322045448,0.157469888293005,0.780380735202362,0.45063894078921,0.179164492699846
"ARR4B1",2.92504290862183,1.78787878787879,46.7477304605947,0.162635858882299,0.949237738376999,0.785439950983335,0.0922203095502358,0.936766422053567,0.818156088729601,0.216448040247878
"BAR1A1",2.87593382426006,3.07142857142857,41.7494386643546,0.261849630441433,0.146502252989307,0.70868156752036,0.152045194396093,0.728484439764854,0.777363902683549,0.131438247596899
"BAR1A2",2.95322463949848,3,54.8872601279318,0.103039580568721,0,0.306502020621148,0.0882559183556727,0.906281131437955,0.668208670019868,0.219531856722076
"BAR1A3",2.9316176730589,3,43.9604989012657,0.1492753390217,1.05328851054182e-16,0.675075018509345,0.120736662221593,0.774467171966925,0.568422060050173,0.197089423772435
"BARE2B1",2.64569050617855,3,39.6325313293213,0.647596614498544,3.88892710231562e-17,0.567917063264853,0.0339633009271835,0.909085973039593,0.580153691136046,0.0942056585074564
"BARE2B2",2.77975919741244,2.4756226112588,33.6856375126582,0.425342023218325,0.854567328238103,0.373834727284705,0.182618411027604,0.840758161950181,0.853422108840197,0.24600128283929
"BELGL1A7",2.96357334749575,2.9047619047619,43.8409957389549,0.0808654521732725,0.190327713285254,0.407048461084743,0.0201301596552085,0.636391907705205,0.905289245943013,0.136910674194819
"BELGL1B5",2.90860895425715,2.62162162162162,34.2335907335907,0.197816308398801,0.519528582944382,0.331812055783388,0.0249780097939019,0.638654123801838,0.927176356105188,0.188598948366473
"BELGL1B6",2.83814790290594,2.75805015895695,36.7976665546028,0.333532836170523,0.405116849746616,0.469721902093437,0.0227312602005263,0.709729281978887,0.900318559901716,0.130470639453375
"BELGL2B1",2.9042824872958,2.60220914073873,38.3615134894426,0.202234917534322,0.529126076685213,0.559458475618748,0.0255222392883032,0.799249613076493,0.990870201750138,0.186599735424636
"BELGL3A8",2.83402157375992,3.05,36.4682383401122,0.344420202502004,0.104918151948496,0.46955007046669,0.0165780282487214,0.469578914513728,0.710431994804913,0.0544037777312386
"BELGL3B4",2.92422369252108,3,28.9803921568627,0.165360008318621,0,0,0,0,0,0
"BELGL4B3",2.97260335396507,2.80866013653388,33.1761468138143,0.0607106668788336,0.341765733714528,0.31000007662671,0,0,0,0.126254930384536
"BEY2B1",2.79515959283343,3,70.4158541410058,0.404291003456307,6.41421286539835e-17,0.739663903171504,0.0624202511861172,0.92609944973874,0.847379379022878,0.156383128462985
"BEY4B3",2.78484395434664,2.89072925477478,50.2053936477656,0.419296660670653,0.223775357124942,0.910174009524257,0.146747381087736,0.85645281711851,0.498663766306342,0.192363164169069
"CAD3B1",2.60750352416997,2.98520917603102,38.4855615089398,0.662231747554486,0.0321868027927991,0.564614107312453,0.0571037527991757,0.927456073762408,0.745161490515384,0.155232587165561
"CAD4B2",2.33773804156718,2.3960962261631,49.1062147690294,0.970129945494931,0.562744268109283,0.849539513209694,0.117872262625636,0.693100028228576,0.765342862256569,0.138050381813276
"COL1A2",2.97691814971625,3,37.254745898205,0.0513063560729087,1.71509550385224e-17,0.660844991859834,0,0,0,0.114557217570747
"COM1B1",2.90515494231261,2.85058771988293,41.9892010645591,0.200661297807644,0.293040281533851,0.591485525255981,0.126934852684005,0.735060219824559,0.516820936502142,0.190677181685614
"COM1B2",2.90168310836703,2.75555555555556,38.5654891016236,0.212035108873017,0.48211901922012,0.612995232488636,0.0193862141632676,0.722930941978551,0.838202817202318,0.159329943927071
"COM2B1",2.97948244891345,3,49.6632653061224,0.0460594415475289,0,0,0,0,0,0
"COM3B2",2.65602029952363,3,29.0908263305322,0.619974984499283,0.0552200799728928,0.0072305466485703,0.027733311816744,0.837863266692424,0.681699382067366,0.114313281511729
"COM4B1.1",2.97254448960801,2.66666666666667,54.5421245421245,0.0614183037525301,0.981690310629204,0.949459797770955,0.00400256004768283,0.650070382113344,0.990024055065304,0.133254556331479
"COMU1A1",2.72294187072625,2.45205932042268,36.5117537261026,0.528795197921303,0.547124287991419,0.487266614624745,0.0442116449215749,0.692029039407088,0.832207667812901,0.143571778870344
"COMU2A1",2.49710043316284,2.89792449369336,32.0796148029788,0.745270197219347,0.235581543114575,0.255790869984431,0.0913583055011642,0.894367886531554,0.412682394594075,0.143591095108303
"COMU2A2",2.67720729296857,1.87058823529412,37.6137250656231,0.613976777793159,0.746560195398223,0.44730591661737,0.0127410755906638,0.658491839668383,0.495348980949328,0.0871411071165892
"COMU3A1",2.5154819050274,2.96993787168805,42.1268778825015,0.806668244493817,0.0644051600239609,0.507309311793449,0.111863441517948,0.581219240071784,0.803872761475122,0.0992962623871697
"COMU3B1",2.70793891335905,2.81379725391651,40.1427475550004,0.553664073105279,0.334702783585829,0.570316087243441,0.113788025595724,0.77428763867261,0.778597533160324,0.144665399173587
